Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     12.35     0.00        1     0.00     0.00  diffusion_elements_set_essential_bc
  0.00     12.35     0.00        1     0.00     0.00  hyperrect_create
  0.00     12.35     0.00        1     0.00     0.00  hyperrect_free
  0.00     12.35     0.00        1     0.00     0.02  kd_clear
  0.00     12.35     0.00        1     0.00     0.00  kd_create
  0.00     12.35     0.00        1     0.00     0.02  kd_free
  0.00     12.35     0.00        1     0.00     0.00  mesh_eight_node_quadrangle_init
  0.00     12.35     0.00        1     0.00     0.00  mesh_four_node_quadrangle_init
  0.00     12.35     0.00        1     0.00     0.00  mesh_four_node_tetrahedron_init
  0.00     12.35     0.00        1     0.00     0.00  mesh_nine_node_quadrangle_init
  0.00     12.35     0.00        1     0.00     0.00  mesh_node_indexes
  0.00     12.35     0.00        1     0.00     0.00  mesh_one_node_point_init
  0.00     12.35     0.00        1     0.00     0.00  mesh_six_node_prism_init
  0.00     12.35     0.00        1     0.00     0.00  mesh_six_node_triangle_init
  0.00     12.35     0.00        1     0.00     0.00  mesh_ten_node_tetrahedron_init
  0.00     12.35     0.00        1     0.00     0.00  mesh_three_node_line_init
  0.00     12.35     0.00        1     0.00     0.00  mesh_three_node_triangle_init
  0.00     12.35     0.00        1     0.00     0.00  mesh_twenty_node_hexaedron_init
  0.00     12.35     0.00        1     0.00     0.00  mesh_twentyseven_node_hexaedron_init
  0.00     12.35     0.00        1     0.00     0.00  mesh_two_node_line_init
  0.00     12.35     0.00        1     0.00     0.00  mesh_vtk_write_header
  0.00     12.35     0.00        1     0.00     0.06  mesh_vtk_write_mesh
  0.00     12.35     0.00        1     0.00     0.00  mesh_vtk_write_scalar
  0.00     12.35     0.00        1     0.00     0.00  milonga_allocate_global_matrices
  0.00     12.35     0.00        1     0.00     0.00  milonga_allocate_global_vectors
  0.00     12.35     0.00        1     0.00     0.00  milonga_debug_cpu_info
  0.00     12.35     0.00        1     0.00     0.00  milonga_debug_cpu_info_free
  0.00     12.35     0.00        1     0.00     0.00  milonga_define_result_functions
  0.00     12.35     0.00        1     0.00     9.23  milonga_instruction_step
  0.00     12.35     0.00        1     0.00     0.00  milonga_read_boundaries
  0.00     12.35     0.00        1     0.00     0.00  milonga_set_entry_points
  0.00     12.35     0.00        1     0.00     0.00  milonga_solve_eigen_slepc
  0.00     12.35     0.00        1     0.00     0.00  plugin_copyright
  0.00     12.35     0.00        1     0.00     0.00  plugin_description
  0.00     12.35     0.00        1     0.00     0.04  plugin_finalize
  0.00     12.35     0.00        1     0.00     0.00  plugin_init_after_parser
  0.00     12.35     0.00        1     0.00     0.00  plugin_init_before_parser
  0.00     12.35     0.00        1     0.00     0.04  plugin_init_before_run
  0.00     12.35     0.00        1     0.00     0.00  plugin_longversion
  0.00     12.35     0.00        1     0.00     0.00  plugin_name
  0.00     12.35     0.00        1     0.00     0.00  plugin_usage
  0.00     12.35     0.00        1     0.00     0.00  plugin_version
  0.00     12.35     0.00        1     0.00     0.00  plugin_wasorahmd5
  0.00     12.35     0.00        1     0.00     0.00  wasora_debug
  0.00     12.35     0.00        1     0.00     0.00  wasora_define_material
  0.00     12.35     0.00        1     0.00     0.00  wasora_define_mesh
  0.00     12.35     0.00        1     0.00     0.00  wasora_evaluate_expression_in_string
  0.00     12.35     0.00        1     0.00     0.04  wasora_finalize
  0.00     12.35     0.00        1     0.00     0.00  wasora_free_assignments
  0.00     12.35     0.00        1     0.00     0.00  wasora_free_dae
  0.00     12.35     0.00        1     0.00     0.00  wasora_free_files
  0.00     12.35     0.00        1     0.00     0.00  wasora_free_functions
  0.00     12.35     0.00        1     0.00     0.00  wasora_free_instructions
  0.00     12.35     0.00        1     0.00     0.00  wasora_free_matrices
  0.00     12.35     0.00        1     0.00     0.00  wasora_free_print_functions
  0.00     12.35     0.00        1     0.00     0.00  wasora_free_print_vectors
  0.00     12.35     0.00        1     0.00     0.00  wasora_free_prints
  0.00     12.35     0.00        1     0.00     0.00  wasora_free_shm
  0.00     12.35     0.00        1     0.00     0.00  wasora_free_solves
